aleatorio,grado,cercania,harmonica,pagerank,intermediacion,num_ataques
9,9,9,9,9,9,0.0
9,9,10,10,9,10,0.0004
9,9,10,10,10,10,0.0008
9,10,10,10,10,10,0.0012
9,10,10,10,10,10,0.0016
9,10,10,10,10,10,0.002
9,10,10,11,10,11,0.0024
9,10,10,11,10,11,0.0028
9,10,10,11,10,11,0.0032
9,10,11,11,10,11,0.0036
9,10,11,11,10,11,0.004
9,10,11,11,11,11,0.0044
9,11,11,11,11,11,0.0048
9,11,11,11,11,11,0.0052
9,11,11,11,11,11,0.0056
9,11,11,11,11,11,0.006
9,11,11,11,11,11,0.0064
9,11,11,11,11,12,0.0068
9,11,11,11,11,12,0.0072
9,11,11,11,11,12,0.0076
9,11,11,11,11,12,0.008
9,11,11,11,11,12,0.0084
9,11,12,12,11,12,0.0088
9,11,12,12,11,12,0.0092
9,11,12,12,11,12,0.0096
9,11,12,12,11,12,0.01
9,11,12,12,11,12,0.0104
9,11,12,12,11,12,0.0108
9,11,12,12,11,12,0.0112
9,11,12,12,11,12,0.0116
9,11,12,12,11,12,0.012
9,11,12,12,11,12,0.0124
9,11,12,12,11,12,0.0128
9,11,12,12,11,12,0.0132
9,11,12,12,11,12,0.0136
9,11,12,12,11,12,0.014
9,11,12,12,11,12,0.0144
9,11,12,12,11,12,0.0148
9,11,12,12,11,12,0.0152
9,11,12,12,11,12,0.0156
9,11,12,12,11,12,0.016
9,11,12,12,11,12,0.0164
9,11,12,12,11,12,0.0168
9,11,12,12,11,12,0.0172
9,11,12,12,11,12,0.0176
9,11,12,12,11,12,0.018
9,11,12,12,11,12,0.0184
9,11,12,12,11,12,0.0188
9,11,12,12,11,12,0.0192
9,11,12,12,11,12,0.0196
9,11,12,12,11,12,0.02
9,11,12,12,11,12,0.0204
9,11,12,12,11,12,0.0208
9,11,12,12,11,13,0.0212
10,12,12,12,12,13,0.0216
10,12,13,12,12,13,0.022
10,12,13,12,12,13,0.0224
10,12,13,12,12,13,0.0228
10,12,13,13,12,13,0.0232
10,12,13,13,12,13,0.0236
10,12,13,13,12,13,0.024
10,12,13,13,12,13,0.0244
10,12,13,13,12,13,0.0248
10,12,13,13,12,13,0.0252
10,12,13,13,12,13,0.0256
10,12,13,13,12,13,0.026
10,12,13,13,12,13,0.0264
10,12,13,13,12,14,0.0268
10,12,14,13,12,14,0.0272
10,12,14,13,12,14,0.0276
10,12,14,13,12,14,0.028
10,12,14,13,12,14,0.0284
10,12,14,13,12,14,0.0288
10,12,14,13,12,14,0.0292
10,12,14,13,12,14,0.0296
10,12,14,13,12,14,0.03
10,12,14,13,12,14,0.0304
10,12,14,13,12,15,0.0308
10,12,14,13,12,15,0.0312
10,12,14,13,12,15,0.0316
10,12,14,14,12,15,0.032
10,12,14,14,12,15,0.0324
10,12,14,14,12,15,0.0328
10,12,14,14,12,16,0.0332
10,12,14,14,12,16,0.0336
10,12,14,14,12,16,0.034
10,12,14,14,12,16,0.0344
