aleatorio,grado,cercania,harmonica,pagerank,intermediacion,num_ataques
9,9,9,9,9,9,0.0
9,9,9,9,9,9,0.0004
9,9,9,9,9,9,0.0008
9,9,9,9,9,9,0.0012
9,9,9,9,9,9,0.0016
9,9,9,9,9,9,0.002
9,10,9,9,10,10,0.0024
9,10,10,10,10,10,0.0028
9,10,10,10,10,10,0.0032
9,10,10,10,10,10,0.0036
9,10,10,10,10,10,0.004
9,10,10,10,10,10,0.0044
9,10,10,10,10,10,0.0048
9,10,10,10,10,10,0.0052
9,10,10,10,10,11,0.0056
9,10,10,10,10,11,0.006
9,10,10,10,10,11,0.0064
9,10,10,10,10,11,0.0068
9,10,10,10,10,11,0.0072
9,10,10,10,10,11,0.0076
9,10,10,10,10,11,0.008
9,10,10,10,10,11,0.0084
9,10,10,10,10,11,0.0088
9,10,11,11,10,11,0.0092
9,10,11,11,10,11,0.0096
9,10,11,11,10,11,0.01
9,10,11,11,10,11,0.0104
9,10,11,11,10,11,0.0108
9,10,11,11,11,11,0.0112
9,10,11,11,11,11,0.0116
9,10,11,11,11,11,0.012
9,11,11,11,11,11,0.0124
9,11,11,11,11,11,0.0128
9,11,11,11,11,11,0.0132
9,11,11,11,11,11,0.0136
9,11,11,11,11,11,0.014
9,11,11,12,11,11,0.0144
9,11,11,12,11,12,0.0148
9,11,11,12,11,12,0.0152
9,11,11,12,11,12,0.0156
9,11,11,12,11,12,0.016
9,11,11,12,11,12,0.0164
9,11,12,12,11,12,0.0168
9,11,12,12,11,12,0.0172
9,11,12,12,11,12,0.0176
9,11,12,12,11,12,0.018
9,11,12,12,11,12,0.0184
9,11,12,12,11,12,0.0188
9,11,12,12,11,12,0.0192
9,11,12,12,11,12,0.0196
9,11,12,12,11,13,0.02
9,11,12,12,11,13,0.0204
9,11,12,12,11,13,0.0208
9,11,12,12,11,13,0.0212
9,11,12,12,11,13,0.0216
9,11,12,12,11,13,0.022
9,11,12,12,11,13,0.0224
9,11,12,12,11,13,0.0228
9,11,12,12,11,13,0.0232
9,11,12,12,11,14,0.0236
9,11,13,12,11,14,0.024
9,11,13,12,11,14,0.0244
9,12,13,12,11,14,0.0248
9,12,13,12,11,14,0.0252
9,12,13,12,11,14,0.0256
9,12,13,12,11,14,0.026
9,12,13,12,11,14,0.0264
9,12,13,13,12,14,0.0268
9,12,13,13,12,14,0.0272
9,12,13,13,12,14,0.0276
9,12,13,13,12,15,0.028
9,12,14,13,12,15,0.0284
9,12,14,13,12,15,0.0288
9,12,14,13,12,15,0.0292
9,12,14,13,12,15,0.0296
9,12,14,13,12,15,0.03
9,12,14,13,12,15,0.0304
9,12,14,13,12,16,0.0308
9,12,14,13,12,16,0.0312
9,12,14,13,12,16,0.0316
9,12,14,13,12,16,0.032
9,12,14,13,12,16,0.0324
9,12,15,13,12,16,0.0328
9,12,15,13,12,16,0.0332
9,12,16,13,12,17,0.0336
9,12,16,13,12,17,0.034
9,12,16,13,12,17,0.0344
9,12,16,13,12,17,0.0348
9,12,16,13,12,17,0.0352
9,12,16,13,12,17,0.0356
9,12,16,13,12,17,0.036
9,12,16,13,12,17,0.0364
9,12,16,13,12,17,0.0368
9,12,17,13,12,18,0.0372
9,12,17,13,12,18,0.0376
9,12,17,14,12,18,0.038
9,12,17,14,12,18,0.0384
9,12,17,14,12,19,0.0388
9,12,17,14,12,19,0.0392
9,12,17,14,12,20,0.0396
9,12,18,14,12,23,0.04
9,12,18,14,12,23,0.0404
9,12,18,14,12,23,0.0408
9,12,18,14,12,23,0.0412
9,12,18,14,12,24,0.0416
9,12,18,14,12,24,0.042
9,12,18,14,12,24,0.0424
9,12,19,14,12,24,0.0428
9,12,19,14,12,24,0.0432
9,12,19,14,12,24,0.0436
9,12,19,14,12,25,0.044
9,13,19,14,12,25,0.0444
9,13,19,14,12,11,0.0448
9,13,19,14,13,11,0.0452
9,13,19,15,13,11,0.0456
9,13,19,15,13,11,0.046
9,13,20,15,13,11,0.0464
9,13,20,15,13,11,0.0468
9,13,20,15,13,11,0.0472
9,13,20,15,13,11,0.0476
9,13,20,15,13,11,0.048
9,13,20,15,13,11,0.0484
9,13,21,15,13,11,0.0488
9,13,21,15,13,11,0.0492
9,13,21,15,13,11,0.0496
9,13,22,15,13,11,0.05
9,13,22,15,13,11,0.0504
9,13,22,15,13,11,0.0508
9,13,22,15,13,11,0.0512
9,13,22,15,13,11,0.0516
9,13,22,15,13,11,0.052
9,13,22,15,13,11,0.0524
9,13,22,15,13,11,0.0528
9,13,22,15,13,11,0.0532
9,13,24,15,13,11,0.0536
9,13,24,15,13,11,0.054
9,13,24,15,13,11,0.0544
9,13,24,15,13,11,0.0548
9,13,24,15,13,11,0.0552
9,13,24,15,13,11,0.0556
9,13,25,15,13,11,0.056
9,13,33,15,13,11,0.0564
9,13,15,16,13,11,0.0568
9,13,15,16,13,11,0.0572
9,13,17,16,13,11,0.0576
9,13,15,16,13,11,0.058
9,13,15,16,13,11,0.0584
9,13,15,16,13,11,0.0588
9,13,15,16,13,11,0.0592
9,13,15,16,13,11,0.0596
9,13,15,16,14,11,0.06
9,13,15,16,14,11,0.0604
9,13,18,16,14,11,0.0608
9,13,18,16,14,12,0.0612
9,13,18,16,14,12,0.0616
9,13,18,16,14,14,0.062
9,13,18,16,14,14,0.0624
9,13,17,16,14,14,0.0628
9,13,17,16,14,15,0.0632
9,13,17,16,14,18,0.0636
9,13,18,16,14,18,0.064
9,13,18,16,14,19,0.0644
9,13,20,16,14,19,0.0648
10,13,19,16,14,19,0.0652
10,13,19,17,14,19,0.0656
10,13,19,17,14,19,0.066
10,13,19,17,14,20,0.0664
10,13,19,17,14,20,0.0668
10,14,19,17,14,20,0.0672
10,14,19,17,14,21,0.0676
10,14,19,17,14,21,0.068
